Luis Severino,NYY @ BAL, 7:10PM,25.5 Fantasy Points
Luis Severino,NYY @ BAL, 7:10PM,3.0 Earned Runs Allowed
Luis Severino,NYY @ BAL, 7:10PM,6.0 Hits Allowed
Luis Severino,NYY @ BAL, 7:10PM,1.5 Walks Allowed
Luis Severino,NYY @ BAL, 7:10PM,95.5 Pitch Count
Anthony Rizzo,NYY @ BAL, 7:10PM,6.5 Fantasy Points
Anthony Rizzo,NYY @ BAL, 7:10PM,1.5 Hits + Runs + RBIs
Giancarlo Stanton,NYY @ BAL, 7:10PM,0.5 Singles
Anthony Volpe,NYY @ BAL, 7:10PM,0.5 Singles
Harrison Bader,NYY @ BAL, 7:10PM,0.5 Singles
Harrison Bader,NYY @ BAL, 7:10PM,0.5 Batter Strikeouts
Isiah Kiner-Falefa,NYY @ BAL, 7:10PM,0.5 Batter Strikeouts
Dean Kremer,BAL vs NYY, 7:10PM,27.5 Fantasy Points
Dean Kremer,BAL vs NYY, 7:10PM,5.0 Strikeouts
Dean Kremer,BAL vs NYY, 7:10PM,2.5 Earned Runs Allowed
Dean Kremer,BAL vs NYY, 7:10PM,5.5 Hits Allowed
Dean Kremer,BAL vs NYY, 7:10PM,94.5 Pitch Count
Adley Rutschman,BAL vs NYY, 7:10PM,7.0 Fantasy Points
Adley Rutschman,BAL vs NYY, 7:10PM,2.0 Hits + Runs + RBIs
Adley Rutschman,BAL vs NYY, 7:10PM,0.5 Runs
Adley Rutschman,BAL vs NYY, 7:10PM,0.5 Singles
Anthony Santander,BAL vs NYY, 7:10PM,1.5 Total Bases
Ryan O'Hearn,BAL vs NYY, 7:10PM,1.5 Total Bases
Ryan O'Hearn,BAL vs NYY, 7:10PM,0.5 Singles
Adam Frazier,BAL vs NYY, 7:10PM,0.5 Singles
Gunnar Henderson,BAL vs NYY, 7:10PM,0.5 Singles
James McCann,BAL vs NYY, 7:10PM,0.5 Singles
Ramón Urías,BAL vs NYY, 7:10PM,0.5 Singles
CS:GO s1mple,NAVI @ OG, Mon 6:30AM,41.5 Kills on Map 1+2
CS:GO s1mple,NAVI @ OG, Mon 6:30AM,16.5 Headshots on Maps 1+2
CS:GO iM,NAVI @ OG, Mon 6:30AM,38.0 Kills on Map 1+2
CS:GO iM,NAVI @ OG, Mon 6:30AM,16.0 Headshots on Maps 1+2
CS:GO jL,NAVI @ OG, Mon 6:30AM,38.0 Kills on Map 1+2
CS:GO jL,NAVI @ OG, Mon 6:30AM,20.5 Headshots on Maps 1+2
CS:GO B1T,NAVI @ OG, Mon 6:30AM,34.5 Kills on Map 1+2
